id,date_account_created,date_account_created_Q,timestamp_first_active,date_first_booking,date_first_booking_Q,gender,age,signup_method,signup_flow,language,affiliate_channel,affiliate_provider,first_affiliate_tracked,signup_app,first_device_type,first_browser,country_destination
gxn3p5htnn,6/28/2010,Q2,2.01E+13,,Q1,-unknown-,40,facebook,0,en,direct,direct,untracked,Web,Mac Desktop,Chrome,NDF
820tgsjxq7,5/25/2011,Q2,2.01E+13,,Q1,MALE,38,facebook,0,en,seo,google,untracked,Web,Mac Desktop,Chrome,NDF
4ft3gnwmtx,9/28/2010,Q3,2.01E+13,8/2/2010,Q3,FEMALE,56,basic,3,en,direct,direct,untracked,Web,Windows Desktop,IE,US
bjjt8pjhuk,12/5/2011,Q4,2.01E+13,9/8/2012,Q3,FEMALE,42,facebook,0,en,direct,direct,untracked,Web,Mac Desktop,Firefox,other
87mebub9p4,9/14/2010,Q3,2.01E+13,2/18/2010,Q1,-unknown-,41,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Chrome,US
osr2jwljor,1/1/2010,Q1,2.01E+13,1/2/2010,Q1,-unknown-,40,basic,0,en,other,other,omg,Web,Mac Desktop,Chrome,US
lsw9q7uk0j,1/2/2010,Q1,2.01E+13,1/5/2010,Q1,FEMALE,46,basic,0,en,other,craigslist,untracked,Web,Mac Desktop,Safari,US
0d01nltbrs,1/3/2010,Q1,2.01E+13,1/13/2010,Q1,FEMALE,47,basic,0,en,direct,direct,omg,Web,Mac Desktop,Safari,US
a1vcnhxeij,1/4/2010,Q1,2.01E+13,7/29/2010,Q3,FEMALE,50,basic,0,en,other,craigslist,untracked,Web,Mac Desktop,Safari,US
6uh8zyj2gn,1/4/2010,Q1,2.01E+13,1/4/2010,Q1,-unknown-,46,basic,0,en,other,craigslist,omg,Web,Mac Desktop,Firefox,US
yuuqmid2rp,1/4/2010,Q1,2.01E+13,1/6/2010,Q1,FEMALE,36,basic,0,en,other,craigslist,untracked,Web,Mac Desktop,Firefox,US
om1ss59ys8,1/5/2010,Q1,2.01E+13,,Q1,FEMALE,47,basic,0,en,other,craigslist,untracked,Web,iPhone,-unknown-,NDF
k6np330cm1,1/5/2010,Q1,2.01E+13,1/18/2010,Q1,-unknown-,40,basic,0,en,direct,direct,,Web,Other/Unknown,-unknown-,FR
dy3rgx56cu,1/5/2010,Q1,2.01E+13,,Q1,FEMALE,37,basic,0,en,other,craigslist,linked,Web,Mac Desktop,Firefox,NDF
ju3h98ch3w,1/7/2010,Q1,2.01E+13,,Q1,FEMALE,36,basic,0,en,other,craigslist,untracked,Web,iPhone,Mobile Safari,NDF
v4d5rl22px,1/7/2010,Q1,2.01E+13,1/8/2010,Q1,FEMALE,33,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,CA
2dwbwkx056,1/7/2010,Q1,2.01E+13,,Q1,-unknown-,40,basic,0,en,other,craigslist,,Web,Other/Unknown,-unknown-,NDF
frhre329au,1/7/2010,Q1,2.01E+13,1/9/2010,Q1,-unknown-,31,basic,0,en,other,craigslist,,Web,Other/Unknown,-unknown-,US
cxlg85pg1r,1/8/2010,Q1,2.01E+13,,Q1,-unknown-,40,basic,0,en,seo,facebook,,Web,Other/Unknown,-unknown-,NDF
gdka1q5ktd,1/10/2010,Q1,2.01E+13,1/10/2010,Q1,FEMALE,29,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Chrome,FR
